交易号,商品编码,商品名称,品类,数量,交易日期,单价(元)
100016,SKU18968,洗发水,日化清洁,5,2026-02-28,5.76
100016,SKU47667,沐浴露,日化清洁,2,2026-02-28,51.6
100016,SKU66881,牙膏,日化清洁,2,2026-02-28,60.5
100016,SKU23173,洗衣液,日化清洁,1,2026-02-28,61.55
100016,SKU49251,肥牛卷,火锅食材,4,2026-02-28,15.81
100017,SKU79621,牛奶,食品饮料,4,2026-01-02,14.21
100017,SKU33600,面包,食品饮料,4,2026-01-02,46.58
100017,SKU89887,纸巾,日化清洁,2,2026-01-02,16.48
100017,SKU41566,肥皂,日化清洁,4,2026-01-02,50.72
100018,SKU70981,排骨,肉禽蛋品,1,2026-08-19,72.22
100018,SKU30706,胡萝卜,生鲜蔬果,3,2026-08-19,55.18
100018,SKU55293,土豆,生鲜蔬果,1,2026-08-19,37.01
100018,SKU65615,面包,食品饮料,5,2026-08-19,26.03
100018,SKU49599,模具,烘焙用品,3,2026-08-19,38.18
100019,SKU48780,牛奶,食品饮料,5,2026-04-13,30.64
100019,SKU96275,消毒液,日化清洁,3,2026-04-13,4.69
100020,SKU38705,牛奶,食品饮料,5,2026-07-09,64.75
100020,SKU98835,面包,食品饮料,2,2026-07-09,50.81
100020,SKU92242,羊肉卷,火锅食材,2,2026-07-09,51.38
100020,SKU67779,可乐,食品饮料,1,2026-07-09,26.79
100020,SKU27224,辣椒酱,粮油调味,1,2026-07-09,47.63
100021,SKU57953,可乐,食品饮料,2,2026-02-10,63.56
100021,SKU45720,薯片,食品饮料,5,2026-02-10,41.64
100021,SKU73156,饼干,食品饮料,2,2026-02-10,22.79
100021,SKU54396,盐,粮油调味,3,2026-02-10,60.49
100022,SKU11824,蚝油,粮油调味,1,2026-02-15,63.88
100022,SKU69609,蛋糕粉,烘焙用品,3,2026-02-15,44.32
100022,SKU98125,垃圾袋,日化清洁,3,2026-02-15,54.81
100023,SKU83584,大米,粮油调味,4,2026-05-19,4.93
100023,SKU39015,食用油,粮油调味,3,2026-05-19,73.47
100023,SKU70852,酱油,粮油调味,1,2026-05-19,51.93
100023,SKU25292,辣椒酱,粮油调味,3,2026-05-19,52.99
100024,SKU69459,羊肉卷,火锅食材,5,2026-03-02,13.45
100024,SKU80804,鸭蛋,肉禽蛋品,3,2026-03-02,54.63
100024,SKU30253,鸡肉,肉禽蛋品,4,2026-03-02,48.23
100024,SKU74139,牛奶,食品饮料,4,2026-03-02,53.43
100025,SKU57537,大米,粮油调味,4,2026-07-09,76.19
100025,SKU58147,食用油,粮油调味,1,2026-07-09,78.53
100025,SKU94518,酱油,粮油调味,5,2026-07-09,72.43
100025,SKU46160,糖粉,烘焙用品,3,2026-07-09,7.66
100026,SKU84000,牛肉,肉禽蛋品,2,2026-04-04,79.14
100026,SKU82641,料酒,粮油调味,2,2026-04-04,8.28
100026,SKU40539,土豆,生鲜蔬果,2,2026-04-04,48.15
100026,SKU88116,橙子,生鲜蔬果,3,2026-04-04,62.63
100026,SKU28964,牙膏,日化清洁,1,2026-04-04,24.35
100027,SKU41186,蛋糕粉,烘焙用品,2,2026-03-18,4.14
100027,SKU32838,黄油,烘焙用品,5,2026-03-18,27.93
100027,SKU65176,淡奶油,烘焙用品,3,2026-03-18,7.03
100027,SKU18330,鸡蛋,肉禽蛋品,5,2026-03-18,11.75
100027,SKU57453,白菜,生鲜蔬果,4,2026-03-18,37.52
100028,SKU94323,洗发水,日化清洁,5,2026-09-19,26.23
100028,SKU72781,沐浴露,日化清洁,1,2026-09-19,7.68
100028,SKU24150,牙膏,日化清洁,4,2026-09-19,35.82
100028,SKU68138,香蕉,生鲜蔬果,4,2026-09-19,57.85
100029,SKU86724,蛋糕粉,烘焙用品,3,2026-02-03,51.07
100029,SKU59925,黄油,烘焙用品,5,2026-02-03,57.84
100029,SKU69469,淡奶油,烘焙用品,5,2026-02-03,43.85
100029,SKU22999,鸡蛋,肉禽蛋品,5,2026-02-03,49.62
100029,SKU95316,鸡翅,肉禽蛋品,1,2026-02-03,68.67
100030,SKU22463,香草精,烘焙用品,4,2026-09-24,35.03
100030,SKU97177,辣椒酱,粮油调味,3,2026-09-24,35.86
100030,SKU30006,淡奶油,烘焙用品,3,2026-09-24,31.82
100030,SKU21188,洗发水,日化清洁,4,2026-09-24,8.17
100030,SKU58843,模具,烘焙用品,1,2026-09-24,36.25
100031,SKU65435,洗发水,日化清洁,3,2026-03-18,70.27
100031,SKU88696,沐浴露,日化清洁,1,2026-03-18,77.57
100031,SKU85748,牙膏,日化清洁,3,2026-03-18,30.08
100031,SKU96079,排骨,肉禽蛋品,5,2026-03-18,19.38
100031,SKU24184,淡奶油,烘焙用品,4,2026-03-18,20.27
100032,SKU91490,薯片,食品饮料,4,2026-06-28,68.08
100032,SKU82972,蚝油,粮油调味,5,2026-06-28,54.97
100033,SKU33777,白菜,生鲜蔬果,3,2026-01-20,30.03
100033,SKU62531,酱油,粮油调味,2,2026-01-20,46.61
100033,SKU92991,饼干,食品饮料,1,2026-01-20,13.92
100033,SKU79531,巧克力,食品饮料,1,2026-01-20,10.07
100034,SKU16895,大米,粮油调味,5,2026-04-13,48.91
100034,SKU90981,肥皂,日化清洁,2,2026-04-13,15.12
100034,SKU45665,巧克力,食品饮料,1,2026-04-13,54.9
100034,SKU73656,洗洁精,日化清洁,4,2026-04-13,53.97
100035,SKU98895,洗发水,日化清洁,4,2026-08-14,11.54
100035,SKU97442,沐浴露,日化清洁,5,2026-08-14,40.47
100035,SKU61807,牙膏,日化清洁,3,2026-08-14,6.5
100036,SKU11013,洗衣液,日化清洁,3,2026-01-01,28.27
100036,SKU33028,纸巾,日化清洁,4,2026-01-01,60.52
100036,SKU40161,垃圾袋,日化清洁,2,2026-01-01,32.28
100036,SKU97562,面包,食品饮料,5,2026-01-01,46.02
100037,SKU85465,牛奶,食品饮料,1,2026-06-03,69.38
100037,SKU93904,面包,食品饮料,4,2026-06-03,47.15
100037,SKU63088,土豆,生鲜蔬果,4,2026-06-03,25.29
100037,SKU32527,模具,烘焙用品,1,2026-06-03,77.4
100038,SKU78676,牛肉,肉禽蛋品,4,2026-08-27,48.34
100038,SKU50668,芝士碎,烘焙用品,1,2026-08-27,33.47
100038,SKU32037,鸡蛋,肉禽蛋品,3,2026-08-27,20.06
100038,SKU24945,酸奶,食品饮料,1,2026-08-27,42.31
100039,SKU35856,大米,粮油调味,1,2026-09-17,14.28
100039,SKU95918,食用油,粮油调味,2,2026-09-17,49.38
100039,SKU92306,酱油,粮油调味,1,2026-09-17,16.64
100039,SKU83889,虾仁,肉禽蛋品,4,2026-09-17,38.72
100039,SKU83989,牛奶,食品饮料,5,2026-09-17,37.57
100040,SKU46002,带鱼,肉禽蛋品,4,2026-06-28,51.62
100040,SKU76497,糖粉,烘焙用品,5,2026-06-28,7.33
100040,SKU69233,生菜,生鲜蔬果,1,2026-06-28,26.9
100040,SKU47627,火锅底料,火锅食材,1,2026-06-28,7.38
100041,SKU15376,毛肚,火锅食材,4,2026-02-21,47.69
100041,SKU84928,拖把,日化清洁,4,2026-02-21,73.0
100042,SKU15130,带鱼,肉禽蛋品,5,2026-04-11,52.75
100042,SKU67595,葡萄,生鲜蔬果,2,2026-04-11,57.49
100042,SKU30807,香草精,烘焙用品,5,2026-04-11,43.25
100042,SKU47079,鸡蛋,肉禽蛋品,3,2026-04-11,31.71
100042,SKU54350,洗发水,日化清洁,4,2026-04-11,34.48
100042,SKU92691,猪肉,肉禽蛋品,5,2026-04-11,7.03
100043,SKU53694,洗发水,日化清洁,5,2026-06-03,70.24
100043,SKU28537,沐浴露,日化清洁,1,2026-06-03,47.87
100043,SKU95990,牙膏,日化清洁,3,2026-06-03,26.89
100043,SKU21104,拖把,日化清洁,4,2026-06-03,12.93
100043,SKU94343,可乐,食品饮料,3,2026-06-03,46.04
100043,SKU97833,面包,食品饮料,3,2026-06-03,65.62
100044,SKU73736,鸭血,火锅食材,2,2026-09-03,29.31
100044,SKU28030,垃圾袋,日化清洁,2,2026-09-03,20.44
100044,SKU23256,土豆,生鲜蔬果,2,2026-09-03,8.94
100044,SKU79013,巧克力,食品饮料,5,2026-09-03,62.36
100044,SKU91006,酱油,粮油调味,1,2026-09-03,53.97
100045,SKU57749,蛋糕粉,烘焙用品,4,2026-03-20,6.36
100045,SKU90031,黄油,烘焙用品,2,2026-03-20,77.66
100045,SKU68841,淡奶油,烘焙用品,3,2026-03-20,60.93
100045,SKU50562,鸡蛋,肉禽蛋品,2,2026-03-20,44.12
100045,SKU35430,面粉,粮油调味,4,2026-03-20,72.61
100046,SKU36174,油纸,烘焙用品,4,2026-06-22,77.4
100046,SKU42768,可乐,食品饮料,5,2026-06-22,13.66
100046,SKU58655,消毒液,日化清洁,1,2026-06-22,52.37
100046,SKU77621,毛肚,火锅食材,5,2026-06-22,74.94
100046,SKU31012,豆腐,火锅食材,1,2026-06-22,24.95
100047,SKU13495,芝士碎,烘焙用品,4,2026-05-15,71.12
100047,SKU75799,牛肉,肉禽蛋品,4,2026-05-15,7.1
100047,SKU20696,蚝油,粮油调味,3,2026-05-15,21.15
100048,SKU71925,火锅底料,火锅食材,1,2026-06-08,25.09
100048,SKU71487,丸子,火锅食材,2,2026-06-08,61.43
100048,SKU20384,肥牛卷,火锅食材,4,2026-06-08,50.38
100048,SKU29597,牙膏,日化清洁,1,2026-06-08,22.71
100048,SKU89807,虾仁,肉禽蛋品,5,2026-06-08,75.4
100048,SKU47762,三文鱼,肉禽蛋品,5,2026-06-08,35.59
100049,SKU75513,洗衣液,日化清洁,1,2026-04-10,67.42
100049,SKU92831,纸巾,日化清洁,5,2026-04-10,44.28
100049,SKU28818,垃圾袋,日化清洁,5,2026-04-10,47.28
100049,SKU90584,模具,烘焙用品,3,2026-04-10,36.05
100049,SKU64600,生菜,生鲜蔬果,3,2026-04-10,21.52
100050,SKU15706,垃圾袋,日化清洁,4,2026-03-22,70.25
100050,SKU43246,生菜,生鲜蔬果,4,2026-03-22,78.54
100050,SKU18855,豆腐,火锅食材,1,2026-03-22,30.5
100050,SKU96127,毛肚,火锅食材,3,2026-03-22,21.57
100050,SKU53583,粉丝,火锅食材,1,2026-03-22,62.41
100050,SKU81567,土豆,生鲜蔬果,2,2026-03-22,6.41
100051,SKU15741,丸子,火锅食材,1,2026-06-27,25.6
100051,SKU51365,酱油,粮油调味,2,2026-06-27,71.21
100051,SKU81176,三文鱼,肉禽蛋品,3,2026-06-27,42.68
100051,SKU94790,生菜,生鲜蔬果,4,2026-06-27,22.51
100051,SKU16265,模具,烘焙用品,2,2026-06-27,25.03
100052,SKU34486,大米,粮油调味,4,2026-06-09,29.11
100052,SKU58148,食用油,粮油调味,4,2026-06-09,56.29
100052,SKU20828,酱油,粮油调味,5,2026-06-09,23.54
100052,SKU88964,黄油,烘焙用品,4,2026-06-09,9.08
100052,SKU52101,糖粉,烘焙用品,2,2026-06-09,45.0
100053,SKU56077,西红柿,生鲜蔬果,2,2026-02-03,56.11
100053,SKU56210,鸡蛋,肉禽蛋品,4,2026-02-03,6.26
100053,SKU45986,黄瓜,生鲜蔬果,5,2026-02-03,79.86
100053,SKU93560,香草精,烘焙用品,1,2026-02-03,8.78
100053,SKU99051,蛋挞皮,烘焙用品,4,2026-02-03,30.97
100054,SKU94562,苹果,生鲜蔬果,1,2026-03-01,21.17
100054,SKU84349,香蕉,生鲜蔬果,3,2026-03-01,30.89
100054,SKU99006,橙子,生鲜蔬果,1,2026-03-01,49.59
100054,SKU58760,糖粉,烘焙用品,4,2026-03-01,76.06
100054,SKU85225,鸡翅,肉禽蛋品,4,2026-03-01,61.76
100055,SKU75410,大米,粮油调味,1,2026-03-17,59.65
100055,SKU83619,食用油,粮油调味,5,2026-03-17,32.8
100055,SKU44116,酱油,粮油调味,1,2026-03-17,23.16
100055,SKU90199,薯片,食品饮料,4,2026-03-17,19.52
100055,SKU74382,酸奶,食品饮料,3,2026-03-17,56.44
100055,SKU19706,鸭蛋,肉禽蛋品,2,2026-03-17,12.44
100056,SKU30644,牛肉,肉禽蛋品,3,2026-08-06,71.63
100056,SKU76683,洗衣液,日化清洁,2,2026-08-06,64.11
100056,SKU36342,沐浴露,日化清洁,2,2026-08-06,12.34
100056,SKU74752,生菜,生鲜蔬果,2,2026-08-06,21.23
100056,SKU85009,蔬菜拼盘,火锅食材,1,2026-08-06,30.79
100057,SKU63665,鸡翅,肉禽蛋品,5,2026-06-15,34.63
100057,SKU51553,牛肉,肉禽蛋品,5,2026-06-15,8.68
100057,SKU99143,生菜,生鲜蔬果,1,2026-06-15,37.65
100057,SKU82260,巧克力,食品饮料,5,2026-06-15,29.53
100057,SKU26912,蛋糕粉,烘焙用品,5,2026-06-15,17.01
100057,SKU17263,丸子,火锅食材,4,2026-06-15,41.72
100058,SKU78012,蛋糕粉,烘焙用品,2,2026-02-17,29.64
100058,SKU42847,黄油,烘焙用品,3,2026-02-17,68.14
100058,SKU82199,淡奶油,烘焙用品,2,2026-02-17,51.9
100058,SKU49691,鸡蛋,肉禽蛋品,3,2026-02-17,12.64
100058,SKU75873,洗洁精,日化清洁,5,2026-02-17,44.08
100059,SKU94076,面粉,粮油调味,1,2026-03-19,9.25
100059,SKU37631,洗发水,日化清洁,5,2026-03-19,23.38
100059,SKU93753,香蕉,生鲜蔬果,5,2026-03-19,35.08
100060,SKU17852,果汁,食品饮料,4,2026-01-16,8.62
100060,SKU73471,矿泉水,食品饮料,2,2026-01-16,36.85
100060,SKU89516,丸子,火锅食材,4,2026-01-16,18.71
100060,SKU51853,酸奶,食品饮料,2,2026-01-16,27.07
100060,SKU27139,黄油,烘焙用品,3,2026-01-16,78.1
100060,SKU23917,蘸料,火锅食材,3,2026-01-16,42.65
100061,SKU60351,香草精,烘焙用品,1,2026-06-08,25.35
100061,SKU30932,酸奶,食品饮料,5,2026-06-08,35.2
100061,SKU50988,虾仁,肉禽蛋品,3,2026-06-08,74.9
100061,SKU75308,鸡肉,肉禽蛋品,2,2026-06-08,61.76
100062,SKU41552,羊肉卷,火锅食材,5,2026-09-15,38.21
100062,SKU16377,土豆,生鲜蔬果,2,2026-09-15,47.92
100062,SKU88317,牛肉,肉禽蛋品,1,2026-09-15,24.66
100062,SKU11071,蛋糕粉,烘焙用品,4,2026-09-15,25.0
100063,SKU84747,西红柿,生鲜蔬果,1,2026-02-14,33.84
100063,SKU82512,鸡蛋,肉禽蛋品,5,2026-02-14,17.99
100063,SKU76093,黄瓜,生鲜蔬果,3,2026-02-14,8.66
100063,SKU46663,垃圾袋,日化清洁,4,2026-02-14,61.86
100063,SKU25572,黄油,烘焙用品,5,2026-02-14,55.39
100064,SKU75546,大米,粮油调味,5,2026-03-04,42.2
100064,SKU27961,食用油,粮油调味,1,2026-03-04,6.49
100064,SKU78069,酱油,粮油调味,3,2026-03-04,64.91
100064,SKU77568,垃圾袋,日化清洁,4,2026-03-04,14.47
100064,SKU90356,虾仁,肉禽蛋品,2,2026-03-04,28.25
100064,SKU90805,盐,粮油调味,3,2026-03-04,15.51
100065,SKU98317,洗发水,日化清洁,1,2026-05-19,31.36
100065,SKU86507,沐浴露,日化清洁,1,2026-05-19,78.45
100065,SKU92478,牙膏,日化清洁,3,2026-05-19,64.35
100065,SKU44803,肥牛卷,火锅食材,1,2026-05-19,48.96
100065,SKU16731,矿泉水,食品饮料,5,2026-05-19,47.48
100065,SKU78712,火锅底料,火锅食材,5,2026-05-19,39.99
100066,SKU64890,苹果,生鲜蔬果,1,2026-07-05,36.96
100066,SKU36724,鸭蛋,肉禽蛋品,2,2026-07-05,34.8
100066,SKU90147,醋,粮油调味,4,2026-07-05,41.64
100067,SKU96799,三文鱼,肉禽蛋品,2,2026-08-28,46.19
100067,SKU51124,粉丝,火锅食材,4,2026-08-28,43.46
100068,SKU46569,蔬菜拼盘,火锅食材,2,2026-03-15,76.71
100068,SKU49008,纸巾,日化清洁,5,2026-03-15,25.98
100068,SKU74094,方便面,食品饮料,3,2026-03-15,57.28
100068,SKU83464,丸子,火锅食材,3,2026-03-15,39.94
100069,SKU47700,洗发水,日化清洁,2,2026-05-10,25.36
100069,SKU67983,沐浴露,日化清洁,1,2026-05-10,29.67
100069,SKU38047,牙膏,日化清洁,3,2026-05-10,60.55
100069,SKU45537,蛋糕粉,烘焙用品,2,2026-05-10,66.75
100070,SKU40518,火锅底料,火锅食材,5,2026-09-23,20.38
100070,SKU53292,丸子,火锅食材,1,2026-09-23,10.72
100070,SKU28018,肥牛卷,火锅食材,4,2026-09-23,10.74
100070,SKU30701,牛奶,食品饮料,1,2026-09-23,77.27
100070,SKU72350,酸奶,食品饮料,4,2026-09-23,53.27
100070,SKU47649,橙子,生鲜蔬果,4,2026-09-23,53.09
100071,SKU32946,辣椒酱,粮油调味,1,2026-06-10,73.32
100071,SKU33040,蘸料,火锅食材,4,2026-06-10,70.93
100072,SKU84443,排骨,肉禽蛋品,1,2026-01-27,3.71
100072,SKU53914,胡萝卜,生鲜蔬果,5,2026-01-27,11.26
100072,SKU94058,土豆,生鲜蔬果,3,2026-01-27,37.98
100072,SKU27589,果汁,食品饮料,5,2026-01-27,43.37
100073,SKU11846,火锅底料,火锅食材,3,2026-09-15,58.33
100073,SKU84420,丸子,火锅食材,3,2026-09-15,63.89
100073,SKU93719,肥牛卷,火锅食材,2,2026-09-15,16.51
100073,SKU77538,大米,粮油调味,4,2026-09-15,66.68
100073,SKU97720,模具,烘焙用品,3,2026-09-15,9.68
100074,SKU44995,洗洁精,日化清洁,2,2026-02-06,37.4
100074,SKU85088,酸奶,食品饮料,3,2026-02-06,26.25
100074,SKU57127,西红柿,生鲜蔬果,1,2026-02-06,23.14
100074,SKU25495,方便面,食品饮料,2,2026-02-06,7.78
100074,SKU63138,拖把,日化清洁,4,2026-02-06,26.62
100075,SKU27507,果汁,食品饮料,5,2026-09-23,20.01
100075,SKU89395,肥皂,日化清洁,4,2026-09-23,14.8
100076,SKU57419,蘸料,火锅食材,4,2026-06-14,43.67
100076,SKU24707,料酒,粮油调味,1,2026-06-14,73.63
100076,SKU76255,酸奶,食品饮料,1,2026-06-14,66.82
100076,SKU29641,猪肉,肉禽蛋品,2,2026-06-14,47.1
100076,SKU78202,豆腐,火锅食材,2,2026-06-14,28.27
100077,SKU69873,肥牛卷,火锅食材,2,2026-08-04,42.52
100077,SKU70604,牛肉,肉禽蛋品,5,2026-08-04,7.45
100077,SKU61897,鸭血,火锅食材,3,2026-08-04,58.69
100077,SKU38560,香草精,烘焙用品,3,2026-08-04,65.87
100077,SKU65534,葡萄,生鲜蔬果,5,2026-08-04,8.62
100077,SKU80931,模具,烘焙用品,3,2026-08-04,56.93
100078,SKU60132,苹果,生鲜蔬果,4,2026-01-03,31.83
100078,SKU59479,可乐,食品饮料,4,2026-01-03,69.96
100078,SKU96742,淡奶油,烘焙用品,4,2026-01-03,9.18
100078,SKU55582,酱油,粮油调味,5,2026-01-03,13.24
100078,SKU80419,三文鱼,肉禽蛋品,1,2026-01-03,16.74
100079,SKU81361,洗衣液,日化清洁,3,2026-07-17,38.65
100079,SKU40102,纸巾,日化清洁,4,2026-07-17,43.96
100079,SKU30332,垃圾袋,日化清洁,2,2026-07-17,38.47
100079,SKU24790,土豆,生鲜蔬果,3,2026-07-17,17.51
100080,SKU16380,土豆,生鲜蔬果,4,2026-01-26,49.03
100080,SKU62725,牛奶,食品饮料,2,2026-01-26,60.02
100080,SKU38477,白糖,粮油调味,4,2026-01-26,21.04
100080,SKU47914,生菜,生鲜蔬果,1,2026-01-26,13.79
100080,SKU85511,鸡肉,肉禽蛋品,2,2026-01-26,65.82
100080,SKU98150,苹果,生鲜蔬果,3,2026-01-26,47.47
100081,SKU82970,蛋糕粉,烘焙用品,3,2026-06-08,24.19
100081,SKU32955,黄油,烘焙用品,5,2026-06-08,70.74
100081,SKU16145,淡奶油,烘焙用品,4,2026-06-08,45.8
100081,SKU97994,鸡蛋,肉禽蛋品,3,2026-06-08,75.5
100081,SKU51777,粉丝,火锅食材,4,2026-06-08,63.51
100081,SKU49306,蚝油,粮油调味,4,2026-06-08,34.44
100082,SKU64592,牛奶,食品饮料,1,2026-07-06,46.3
100082,SKU60910,蚝油,粮油调味,5,2026-07-06,43.81
100082,SKU53288,矿泉水,食品饮料,2,2026-07-06,22.63
100082,SKU58637,虾仁,肉禽蛋品,1,2026-07-06,74.01
100082,SKU34966,油纸,烘焙用品,1,2026-07-06,44.24
100083,SKU83249,苹果,生鲜蔬果,5,2026-01-09,58.77
100083,SKU53642,香蕉,生鲜蔬果,2,2026-01-09,39.91
100083,SKU12009,橙子,生鲜蔬果,3,2026-01-09,76.69
100083,SKU25376,胡萝卜,生鲜蔬果,2,2026-01-09,75.16
100083,SKU89220,醋,粮油调味,4,2026-01-09,73.41
100084,SKU75179,洗洁精,日化清洁,3,2026-04-13,30.69
100084,SKU71537,可乐,食品饮料,4,2026-04-13,10.59
100084,SKU58589,消毒液,日化清洁,3,2026-04-13,73.4
100084,SKU83731,油纸,烘焙用品,3,2026-04-13,34.87
100084,SKU12125,纸巾,日化清洁,2,2026-04-13,60.08
100084,SKU86550,巧克力,食品饮料,3,2026-04-13,45.6
100085,SKU75444,大米,粮油调味,5,2026-07-10,67.17
100085,SKU99764,食用油,粮油调味,5,2026-07-10,53.4
100085,SKU74044,酱油,粮油调味,3,2026-07-10,22.81
100085,SKU56160,消毒液,日化清洁,4,2026-07-10,38.48
100086,SKU97584,酱油,粮油调味,1,2026-03-05,75.78
100086,SKU64053,蔬菜拼盘,火锅食材,1,2026-03-05,61.85
100086,SKU40334,葡萄,生鲜蔬果,2,2026-03-05,67.88
100086,SKU11198,豆腐,火锅食材,1,2026-03-05,57.45
100086,SKU58916,苹果,生鲜蔬果,2,2026-03-05,41.94
100087,SKU46010,丸子,火锅食材,1,2026-01-20,43.77
100087,SKU12246,肥牛卷,火锅食材,5,2026-01-20,78.27
100087,SKU98346,土豆,生鲜蔬果,5,2026-01-20,65.61
100087,SKU33496,西红柿,生鲜蔬果,4,2026-01-20,65.07
100087,SKU78732,淡奶油,烘焙用品,1,2026-01-20,73.69
100087,SKU91235,黄瓜,生鲜蔬果,2,2026-01-20,21.55
100088,SKU39603,蛋糕粉,烘焙用品,4,2026-09-09,46.51
100088,SKU20566,猪肉,肉禽蛋品,3,2026-09-09,55.67
100088,SKU59710,肥皂,日化清洁,1,2026-09-09,10.2
100088,SKU17355,黄油,烘焙用品,4,2026-09-09,45.56
100089,SKU40115,排骨,肉禽蛋品,5,2026-01-23,73.77
100089,SKU84289,胡萝卜,生鲜蔬果,2,2026-01-23,72.4
100089,SKU19744,土豆,生鲜蔬果,4,2026-01-23,23.87
100089,SKU83860,牙膏,日化清洁,3,2026-01-23,72.25
100089,SKU51220,鸡肉,肉禽蛋品,1,2026-01-23,16.81
100090,SKU28343,胡萝卜,生鲜蔬果,5,2026-01-07,28.54
100090,SKU55332,矿泉水,食品饮料,1,2026-01-07,41.56
100090,SKU40427,大米,粮油调味,1,2026-01-07,10.52
100090,SKU90460,牛奶,食品饮料,1,2026-01-07,29.23
100090,SKU52778,拖把,日化清洁,5,2026-01-07,33.55
